days_since_index,n_patient_visits
-252,1037.3491854493604
-251,1183.064635122021
-250,1012.5553050394623
-249,1204.023561367351
-248,964.0982739182602
-247,957.1409903694998
-246,1041.4730784594906
-245,1108.5326890178387
-244,948.8606426549763
-243,977.840346940305
-242,1269.638910083939
-241,1177.6048557966806
-240,1233.0521791151343
-239,933.4912212751645
-238,1103.1948913053375
-237,1154.9720135044274
-236,981.6564402559957
-235,1191.1286910515175
-234,1001.8183149935685
-233,1184.5266236501657
-232,1204.744528029025
-231,1135.6259145345439
-230,1127.2365774600505
-229,1183.0467598871912
-228,947.9573778230388
-227,1159.373320863756
-226,1063.9755421752966
-225,1222.4874149983077
-224,1142.7235771499613
-223,1092.7367040648628
-222,1128.8889075395898
-221,1087.8138871379197
-220,1125.780178821362
-219,1202.547336034724
-218,953.4622546331208
-217,1215.0786706165093
-216,981.8655919451085
-215,1056.5751592843499
-214,973.9200040773911
-213,1246.4407473423705
-212,1092.9846076338165
-211,1154.394247833996
-210,1056.689816679009
-209,1102.2477166641422
-208,1050.5024234630837
-207,874.3167529477612
-206,1042.220065008245
-205,1197.1291620454097
-204,1089.652890433551
-203,1050.2163763566791
-202,960.8221642938083
-201,1088.1134236977082
-200,1230.689781089275
-199,1251.9576804068179
-198,1321.6966836005954
-197,1246.7827630359473
-196,1087.2660536436013
-195,1072.9897252806734
-194,1116.858067843078
-193,1207.8890815117456
-192,1161.6611977974958
-191,1148.9396036042417
-190,1188.5982326011165
-189,1209.1908946898172
-188,1336.8937356142687
-187,1134.6487342665569
-186,1392.2039147692158
-185,1081.4169488409823
-184,1116.5892634449458
-183,1385.6171476042282
-182,1024.1547492917634
-181,1087.2690082840775
-180,1122.841104542135
-179,1179.2118193589722
-178,1327.0584322145955
-177,1208.3329493555063
-176,1225.833122856242
-175,1165.413095213245
-174,1204.757899476903
-173,1065.3726931163997
-172,1145.251686639441
-171,1303.2632224845204
-170,1339.90919999411
-169,1174.156118427836
-168,1251.0450387974213
-167,1305.848737627729
-166,1198.500052348478
-165,1282.9024933354096
-164,1251.5435625292844
-163,1153.486827883072
-162,1245.4178341145482
-161,1199.252653682694
-160,1129.1967654871967
-159,1142.984485169192
-158,1316.4500763429367
-157,1251.548774987396
-156,1095.5138249581346
-155,1144.9733044137995
-154,1416.6597568583372
-153,1099.1475883033183
-152,1239.0842650058582
-151,1266.1817789808383
-150,1311.290990717243
-149,1390.3761916221913
-148,1199.0014183957649
-147,1152.423302150533
-146,1376.40883892686
-145,1389.6710981896192
-144,1285.8590832395269
-143,1265.907555150235
-142,1335.7338981921764
-141,1182.7929428221128
-140,1378.0819584106061
-139,1430.1799402017882
-138,1475.2691748893421
-137,1370.5258622402146
-136,1199.0056135216657
-135,1401.6855054421521
-134,1412.7142516681008
-133,1327.043757467757
-132,1329.8275688230028
-131,1348.9361177158949
-130,1501.9650271817557
-129,1327.4129917177104
-128,1288.7280373452497
-127,1271.8876670393736
-126,1179.4727077233879
-125,1328.6823730756848
-124,1371.9546511314495
-123,1264.0259861453808
-122,1277.6259426249794
-121,1258.8495747093655
-120,1457.3186038752813
-119,1593.8510891543258
-118,1224.082027468492
-117,1379.26137104197
-116,1414.550615191219
-115,1493.4724745162898
-114,1471.204996292413
-113,1345.8574245148052
-112,1481.6522893088352
-111,1449.8086439641852
-110,1278.7238341401385
-109,1500.3081612943522
-108,1463.8289670077893
-107,1470.7410269294253
-106,1658.9796836153444
-105,1383.3967888254779
-104,1391.2980342973678
-103,1386.2929350035033
-102,1361.9660462751435
-101,1695.6922778247574
-100,1432.275967290135
-99,1629.314432682202
-98,1620.1281141731477
-97,1496.3337256976947
-96,1551.7557927290163
-95,1534.0100009082457
-94,1526.9206591960362
-93,1473.4083879945192
-92,1496.7080405632541
-91,1609.4033847505527
-90,1591.5810065238772
-89,1715.6822711266157
-88,1525.7411129063134
-87,1505.1127907370126
-86,1503.8731752069411
-85,1645.5053930462575
-84,1575.356140319803
-83,1660.0888454422582
-82,1613.022963091156
-81,1740.5258499957044
-80,1770.7763763443984
-79,1518.5758697284575
-78,1583.1591372150326
-77,1727.6848178309729
-76,1532.0087626887657
-75,1603.2140036176997
-74,1639.167825214048
-73,1641.0914805848502
-72,1789.9020223909056
-71,1873.8577736662066
-70,1626.7331402024581
-69,1621.9634993609252
-68,1667.1544944599175
-67,1636.1765219086183
-66,1671.9840426955602
-65,1824.1552585003499
-64,1725.3924523803778
-63,1890.6411791375997
-62,1729.2883519407094
-61,1685.8902509518332
-60,1817.737960960185
-59,1815.1994492977547
-58,1815.1358142626134
-57,1701.4573208247418
-56,1787.007271554644
-55,1829.1305842655759
-54,1948.7498546553213
-53,1947.5542757597457
-52,1896.2124789631334
-51,1883.1101201878
-50,1920.0854566754556
-49,1914.090826663384
-48,1956.2227506099175
-47,2015.4839163879549
-46,1997.470398490094
-45,1986.9508007332333
-44,1901.7908246790043
-43,2026.0525966368941
-42,2202.789030267154
-41,2184.9729546740427
-40,2156.609866610911
-39,1975.8304575336526
-38,2167.808046847186
-37,2119.413724956523
-36,1910.1498497936582
-35,2120.9151978489367
-34,2356.0207263065527
-33,2218.5202968639055
-32,2271.2777558008574
-31,2435.2861121527226
-30,2257.2742699674855
-29,2115.0870677525472
-28,2429.23477184946
-27,2478.658274995249
-26,2530.174338401994
-25,2366.0770378170396
-24,2543.8357475351013
-23,2236.9319970115666
-22,2416.9438713827035
-21,2448.1165316965103
-20,2655.4012167093406
-19,2507.4873413073456
-18,2691.252009782214
-17,2702.652400362351
-16,2743.1028899738403
-15,2840.310706522188
-14,2820.338727616285
-13,3127.578136362239
-12,2937.9136145416956
-11,3160.159190015112
-10,3323.620633426549
-9,3287.7491898890717
-8,3419.3514741518406
-7,3593.920421117878
-6,3721.851503029976
-5,3655.688024257897
-4,3950.520299118847
-3,3841.5965076225402
-2,3999.5690341429245
-1,4250.4480717433235
