dx,days_since_index,n
00845,-79,2
00845,-78,0
00845,-77,2
00845,-76,6
00845,-75,2
00845,-74,0
00845,-73,6
00845,-72,7
00845,-71,1
00845,-70,2
00845,-69,2
00845,-68,0
00845,-67,3
00845,-66,1
00845,-65,1
00845,-64,3
00845,-63,3
00845,-62,2
00845,-61,5
00845,-60,0
00845,-59,4
00845,-58,6
00845,-57,4
00845,-56,4
00845,-55,4
00845,-54,2
00845,-53,6
00845,-52,8
00845,-51,2
00845,-50,4
00845,-49,6
00845,-48,6
00845,-47,5
00845,-46,1
00845,-45,0
00845,-44,1
00845,-43,3
00845,-42,1
00845,-41,0
00845,-40,4
00845,-39,2
00845,-38,0
00845,-37,4
00845,-36,2
00845,-35,6
00845,-34,7
00845,-33,0
00845,-32,3
00845,-31,7
00845,-30,3
00845,-29,4
00845,-28,5
00845,-27,6
00845,-26,2
00845,-25,4
00845,-24,3
00845,-23,3
00845,-22,1
00845,-21,5
00845,-20,1
00845,-19,2
00845,-18,4
00845,-17,5
00845,-16,7
00845,-15,5
00845,-14,10
00845,-13,2
00845,-12,4
00845,-11,1
00845,-10,5
00845,-9,0
00845,-8,5
00845,-7,6
00845,-6,10
00845,-5,5
00845,-4,3
00845,-3,2
00845,-2,10
00845,-1,6
0310,-365,1
0310,-364,0
0310,-363,3
0310,-362,0
0310,-361,2
0310,-360,0
0310,-359,1
0310,-358,1
0310,-357,2
0310,-356,1
0310,-355,4
0310,-354,4
0310,-353,3
0310,-352,2
0310,-351,2
0310,-350,0
0310,-349,3
0310,-348,1
0310,-347,0
0310,-346,2
0310,-345,4
0310,-344,2
0310,-343,1
0310,-342,2
0310,-341,3
0310,-340,4
0310,-339,4
0310,-338,2
0310,-337,3
0310,-336,1
0310,-335,6
0310,-334,1
0310,-333,2
0310,-332,1
0310,-331,4
0310,-330,5
0310,-329,3
0310,-328,3
0310,-327,2
0310,-326,2
0310,-325,5
0310,-324,5
0310,-323,0
0310,-322,5
0310,-321,3
0310,-320,1
0310,-319,3
0310,-318,6
0310,-317,5
0310,-316,5
0310,-315,4
0310,-314,2
0310,-313,6
0310,-312,4
0310,-311,4
0310,-310,2
0310,-309,3
0310,-308,0
0310,-307,2
0310,-306,5
0310,-305,5
0310,-304,3
0310,-303,4
0310,-302,1
0310,-301,3
0310,-300,2
0310,-299,1
0310,-298,2
0310,-297,3
0310,-296,3
0310,-295,3
0310,-294,5
0310,-293,6
0310,-292,2
0310,-291,4
0310,-290,4
0310,-289,4
0310,-288,2
0310,-287,3
0310,-286,3
0310,-285,4
0310,-284,2
0310,-283,0
0310,-282,4
0310,-281,0
0310,-280,2
0310,-279,7
0310,-278,2
0310,-277,5
0310,-276,3
0310,-275,0
0310,-274,3
0310,-273,1
0310,-272,6
0310,-271,4
0310,-270,0
0310,-269,0
0310,-268,7
0310,-267,2
0310,-266,2
0310,-265,4
0310,-264,3
0310,-263,3
0310,-262,2
0310,-261,2
0310,-260,4
0310,-259,3
0310,-258,2
0310,-257,1
0310,-256,0
0310,-255,4
0310,-254,3
0310,-253,2
0310,-252,2
0310,-251,0
0310,-250,2
0310,-249,0
0310,-248,5
0310,-247,3
0310,-246,4
0310,-245,6
0310,-244,2
0310,-243,3
0310,-242,4
0310,-241,4
0310,-240,5
0310,-239,3
0310,-238,5
0310,-237,4
0310,-236,5
0310,-235,0
0310,-234,4
0310,-233,3
0310,-232,5
0310,-231,5
0310,-230,3
0310,-229,3
0310,-228,3
0310,-227,1
0310,-226,3
0310,-225,7
0310,-224,6
0310,-223,4
0310,-222,1
0310,-221,0
0310,-220,3
0310,-219,6
0310,-218,2
0310,-217,4
0310,-216,2
0310,-215,4
0310,-214,0
0310,-213,1
0310,-212,3
0310,-211,5
0310,-210,3
0310,-209,6
0310,-208,3
0310,-207,2
0310,-206,4
0310,-205,3
0310,-204,5
0310,-203,9
0310,-202,5
0310,-201,1
0310,-200,4
0310,-199,5
0310,-198,4
0310,-197,9
0310,-196,1
0310,-195,4
0310,-194,1
0310,-193,7
0310,-192,3
0310,-191,2
0310,-190,9
0310,-189,3
0310,-188,7
0310,-187,2
0310,-186,4
0310,-185,0
0310,-184,6
0310,-183,4
0310,-182,1
0310,-181,3
0310,-180,3
0310,-179,4
0310,-178,5
0310,-177,2
0310,-176,4
0310,-175,4
0310,-174,5
0310,-173,4
0310,-172,9
0310,-171,3
0310,-170,6
0310,-169,4
0310,-168,4
0310,-167,1
0310,-166,1
0310,-165,4
0310,-164,1
0310,-163,5
0310,-162,6
0310,-161,3
0310,-160,5
0310,-159,5
0310,-158,7
0310,-157,5
0310,-156,3
0310,-155,5
0310,-154,5
0310,-153,6
0310,-152,1
0310,-151,0
0310,-150,1
0310,-149,3
0310,-148,4
0310,-147,5
0310,-146,3
0310,-145,1
0310,-144,6
0310,-143,7
0310,-142,1
0310,-141,6
0310,-140,7
0310,-139,1
0310,-138,5
0310,-137,3
0310,-136,2
0310,-135,3
0310,-134,5
0310,-133,3
0310,-132,6
0310,-131,0
0310,-130,0
0310,-129,3
0310,-128,6
0310,-127,4
0310,-126,2
0310,-125,6
0310,-124,3
0310,-123,3
0310,-122,1
0310,-121,2
0310,-120,6
0310,-119,5
0310,-118,1
0310,-117,7
0310,-116,4
0310,-115,6
0310,-114,0
0310,-113,6
0310,-112,7
0310,-111,2
0310,-110,4
0310,-109,10
0310,-108,0
0310,-107,5
0310,-106,6
0310,-105,4
0310,-104,2
0310,-103,6
0310,-102,6
0310,-101,4
0310,-100,4
0310,-99,9
0310,-98,7
0310,-97,7
0310,-96,8
0310,-95,14
0310,-94,4
0310,-93,6
0310,-92,8
0310,-91,10
0310,-90,11
0310,-89,8
0310,-88,9
0310,-87,2
0310,-86,9
0310,-85,10
0310,-84,5
0310,-83,4
0310,-82,3
0310,-81,5
0310,-80,6
0310,-79,2
0310,-78,4
0310,-77,8
0310,-76,4
0310,-75,7
0310,-74,2
0310,-73,1
0310,-72,13
0310,-71,4
0310,-70,5
0310,-69,10
0310,-68,5
0310,-67,3
0310,-66,11
0310,-65,8
0310,-64,14
0310,-63,10
0310,-62,8
0310,-61,3
0310,-60,10
0310,-59,4
0310,-58,3
0310,-57,4
0310,-56,10
0310,-55,9
0310,-54,8
0310,-53,13
0310,-52,9
0310,-51,3
0310,-50,3
0310,-49,11
0310,-48,10
0310,-47,11
0310,-46,9
0310,-45,8
0310,-44,5
0310,-43,8
0310,-42,8
0310,-41,10
0310,-40,14
0310,-39,12
0310,-38,10
0310,-37,15
0310,-36,12
0310,-35,12
0310,-34,6
0310,-33,20
0310,-32,6
0310,-31,3
0310,-30,9
0310,-29,12
0310,-28,5
0310,-27,10
0310,-26,12
0310,-25,14
0310,-24,11
0310,-23,11
0310,-22,18
0310,-21,13
0310,-20,22
0310,-19,17
0310,-18,16
0310,-17,12
0310,-16,12
0310,-15,15
0310,-14,11
0310,-13,16
0310,-12,23
0310,-11,9
0310,-10,12
0310,-9,20
0310,-8,15
0310,-7,21
0310,-6,6
0310,-5,32
0310,-4,22
0310,-3,19
0310,-2,19
0310,-1,19
0319,-365,3
0319,-364,0
0319,-363,2
0319,-362,0
0319,-361,0
0319,-360,1
0319,-359,0
0319,-358,1
0319,-357,1
0319,-356,3
0319,-355,1
0319,-354,1
0319,-353,0
0319,-352,2
0319,-351,1
0319,-350,0
0319,-349,0
0319,-348,1
0319,-347,2
0319,-346,2
0319,-345,0
0319,-344,0
0319,-343,2
0319,-342,1
0319,-341,2
0319,-340,3
0319,-339,1
0319,-338,0
0319,-337,0
0319,-336,2
0319,-335,0
0319,-334,2
0319,-333,1
0319,-332,0
0319,-331,0
0319,-330,1
0319,-329,2
0319,-328,1
0319,-327,4
0319,-326,1
0319,-325,3
0319,-324,2
0319,-323,0
0319,-322,0
0319,-321,1
0319,-320,2
0319,-319,2
0319,-318,1
0319,-317,0
0319,-316,1
0319,-315,0
0319,-314,2
0319,-313,1
0319,-312,2
0319,-311,1
0319,-310,4
0319,-309,0
0319,-308,3
0319,-307,0
0319,-306,0
0319,-305,1
0319,-304,1
0319,-303,4
0319,-302,0
0319,-301,0
0319,-300,3
0319,-299,6
0319,-298,1
0319,-297,2
0319,-296,4
0319,-295,1
0319,-294,3
0319,-293,1
0319,-292,2
0319,-291,0
0319,-290,1
0319,-289,1
0319,-288,0
0319,-287,0
0319,-286,2
0319,-285,0
0319,-284,1
0319,-283,1
0319,-282,1
0319,-281,0
0319,-280,1
0319,-279,3
0319,-278,4
0319,-277,2
0319,-276,3
0319,-275,2
0319,-274,2
0319,-273,3
0319,-272,1
0319,-271,1
0319,-270,0
0319,-269,1
0319,-268,2
0319,-267,2
0319,-266,2
0319,-265,2
0319,-264,3
0319,-263,6
0319,-262,3
0319,-261,3
0319,-260,2
0319,-259,1
0319,-258,1
0319,-257,3
0319,-256,0
0319,-255,1
0319,-254,1
0319,-253,2
0319,-252,1
0319,-251,3
0319,-250,6
0319,-249,1
0319,-248,0
0319,-247,1
0319,-246,3
0319,-245,0
0319,-244,4
0319,-243,3
0319,-242,1
0319,-241,6
0319,-240,2
0319,-239,2
0319,-238,3
0319,-237,4
0319,-236,0
0319,-235,1
0319,-234,1
0319,-233,4
0319,-232,2
0319,-231,4
0319,-230,5
0319,-229,0
0319,-228,2
0319,-227,6
0319,-226,1
0319,-225,5
0319,-224,6
0319,-223,5
0319,-222,1
0319,-221,3
0319,-220,0
0319,-219,3
0319,-218,1
0319,-217,1
0319,-216,1
0319,-215,5
0319,-214,1
0319,-213,5
0319,-212,2
0319,-211,3
0319,-210,4
0319,-209,4
0319,-208,3
0319,-207,3
0319,-206,0
0319,-205,6
0319,-204,7
0319,-203,2
0319,-202,3
0319,-201,1
0319,-200,5
0319,-199,1
0319,-198,2
0319,-197,8
0319,-196,4
0319,-195,5
0319,-194,5
0319,-193,7
0319,-192,0
0319,-191,0
0319,-190,4
0319,-189,5
0319,-188,5
0319,-187,2
0319,-186,10
0319,-185,2
0319,-184,3
0319,-183,3
0319,-182,4
0319,-181,2
0319,-180,3
0319,-179,6
0319,-178,5
0319,-177,3
0319,-176,3
0319,-175,4
0319,-174,5
0319,-173,5
0319,-172,1
0319,-171,1
0319,-170,3
0319,-169,6
0319,-168,1
0319,-167,2
0319,-166,3
0319,-165,1
0319,-164,9
0319,-163,2
0319,-162,5
0319,-161,6
0319,-160,3
0319,-159,2
0319,-158,2
0319,-157,3
0319,-156,4
0319,-155,5
0319,-154,0
0319,-153,4
0319,-152,2
0319,-151,4
0319,-150,6
0319,-149,7
0319,-148,5
0319,-147,7
0319,-146,0
0319,-145,2
0319,-144,1
0319,-143,2
0319,-142,3
0319,-141,5
0319,-140,5
0319,-139,1
0319,-138,2
0319,-137,3
0319,-136,2
0319,-135,5
0319,-134,3
0319,-133,3
0319,-132,3
0319,-131,3
0319,-130,2
0319,-129,1
0319,-128,5
0319,-127,3
0319,-126,3
0319,-125,1
0319,-124,3
0319,-123,5
0319,-122,4
0319,-121,7
0319,-120,0
0319,-119,0
0319,-118,7
0319,-117,1
0319,-116,4
0319,-115,2
0319,-114,5
0319,-113,2
0319,-112,2
0319,-111,5
0319,-110,3
0319,-109,0
0319,-108,0
0319,-107,4
0319,-106,0
0319,-105,0
0319,-104,1
0319,-103,4
0319,-102,3
0319,-101,6
0319,-100,1
0319,-99,5
0319,-98,6
0319,-97,1
0319,-96,6
0319,-95,2
0319,-94,4
0319,-93,3
0319,-92,0
0319,-91,0
0319,-90,6
0319,-89,1
0319,-88,0
0319,-87,1
0319,-86,0
0319,-85,0
0319,-84,0
0319,-83,2
0319,-82,4
0319,-81,0
0319,-80,0
0319,-79,4
0319,-78,3
0319,-77,3
0319,-76,0
0319,-75,2
0319,-74,2
0319,-73,2
0319,-72,0
0319,-71,8
0319,-70,7
0319,-69,3
0319,-68,2
0319,-67,4
0319,-66,3
0319,-65,5
0319,-64,6
0319,-63,1
0319,-62,4
0319,-61,2
0319,-60,4
0319,-59,2
0319,-58,1
0319,-57,1
0319,-56,7
0319,-55,0
0319,-54,5
0319,-53,6
0319,-52,4
0319,-51,3
0319,-50,1
0319,-49,3
0319,-48,1
0319,-47,3
0319,-46,4
0319,-45,4
0319,-44,7
0319,-43,0
0319,-42,5
0319,-41,7
0319,-40,6
0319,-39,1
0319,-38,1
0319,-37,3
0319,-36,2
0319,-35,4
0319,-34,0
0319,-33,6
0319,-32,2
0319,-31,6
0319,-30,3
0319,-29,5
0319,-28,0
0319,-27,6
0319,-26,6
0319,-25,6
0319,-24,6
0319,-23,7
0319,-22,5
0319,-21,5
0319,-20,7
0319,-19,5
0319,-18,3
0319,-17,5
0319,-16,10
0319,-15,6
0319,-14,6
0319,-13,7
0319,-12,7
0319,-11,12
0319,-10,6
0319,-9,7
0319,-8,10
0319,-7,7
0319,-6,12
0319,-5,9
0319,-4,12
0319,-3,14
0319,-2,5
0319,-1,7
0389,-365,1
0389,-364,1
0389,-363,0
0389,-362,1
0389,-361,1
0389,-360,0
0389,-359,0
0389,-358,2
0389,-357,2
0389,-356,2
0389,-355,4
0389,-354,2
0389,-353,0
0389,-352,0
0389,-351,3
0389,-350,1
0389,-349,1
0389,-348,0
0389,-347,1
0389,-346,0
0389,-345,0
0389,-344,0
0389,-343,2
0389,-342,2
0389,-341,0
0389,-340,3
0389,-339,0
0389,-338,0
0389,-337,2
0389,-336,0
0389,-335,0
0389,-334,2
0389,-333,2
0389,-332,0
0389,-331,1
0389,-330,2
0389,-329,1
0389,-328,1
0389,-327,1
0389,-326,1
0389,-325,3
0389,-324,1
0389,-323,2
0389,-322,0
0389,-321,0
0389,-320,0
0389,-319,0
0389,-318,2
0389,-317,1
0389,-316,0
0389,-315,2
0389,-314,1
0389,-313,1
0389,-312,1
0389,-311,1
0389,-310,1
0389,-309,1
0389,-308,3
0389,-307,3
0389,-306,3
0389,-305,4
0389,-304,3
0389,-303,3
0389,-302,1
0389,-301,0
0389,-300,0
0389,-299,0
0389,-298,0
0389,-297,0
0389,-296,0
0389,-295,2
0389,-294,0
0389,-293,1
0389,-292,1
0389,-291,0
0389,-290,0
0389,-289,0
0389,-288,2
0389,-287,3
0389,-286,0
0389,-285,1
0389,-284,0
0389,-283,0
0389,-282,4
0389,-281,1
0389,-280,0
0389,-279,3
0389,-278,1
0389,-277,1
0389,-276,0
0389,-275,0
0389,-274,1
0389,-273,2
0389,-272,2
0389,-271,1
0389,-270,1
0389,-269,1
0389,-268,1
0389,-267,0
0389,-266,1
0389,-265,2
0389,-264,0
0389,-263,2
0389,-262,1
0389,-261,2
0389,-260,3
0389,-259,1
0389,-258,2
0389,-257,3
0389,-256,2
0389,-255,3
0389,-254,0
0389,-253,0
0389,-252,5
0389,-251,1
0389,-250,0
0389,-249,2
0389,-248,2
0389,-247,0
0389,-246,1
0389,-245,1
0389,-244,3
0389,-243,0
0389,-242,0
0389,-241,3
0389,-240,0
0389,-239,3
0389,-238,4
0389,-237,0
0389,-236,0
0389,-235,3
0389,-234,4
0389,-233,2
0389,-232,4
0389,-231,0
0389,-230,3
0389,-229,4
0389,-228,1
0389,-227,0
0389,-226,1
0389,-225,1
0389,-224,1
0389,-223,3
0389,-222,2
0389,-221,6
0389,-220,2
0389,-219,2
0389,-218,4
0389,-217,1
0389,-216,1
0389,-215,2
0389,-214,2
0389,-213,0
0389,-212,4
0389,-211,0
0389,-210,3
0389,-209,2
0389,-208,3
0389,-207,2
0389,-206,2
0389,-205,3
0389,-204,3
0389,-203,1
0389,-202,1
0389,-201,2
0389,-200,1
0389,-199,5
0389,-198,3
0389,-197,5
0389,-196,0
0389,-195,3
0389,-194,1
0389,-193,4
0389,-192,1
0389,-191,1
0389,-190,1
0389,-189,1
0389,-188,1
0389,-187,0
0389,-186,4
0389,-185,1
0389,-184,4
0389,-183,1
0389,-182,2
0389,-181,3
0389,-180,0
0389,-179,3
0389,-178,5
0389,-177,3
0389,-176,4
0389,-175,3
0389,-174,0
0389,-173,1
0389,-172,3
0389,-171,4
0389,-170,3
0389,-169,2
0389,-168,3
0389,-167,3
0389,-166,0
0389,-165,3
0389,-164,3
0389,-163,5
0389,-162,0
0389,-161,5
0389,-160,1
0389,-159,1
0389,-158,2
0389,-157,2
0389,-156,3
0389,-155,4
0389,-154,3
0389,-153,3
0389,-152,1
0389,-151,1
0389,-150,2
0389,-149,0
0389,-148,1
0389,-147,2
0389,-146,2
0389,-145,8
0389,-144,0
0389,-143,2
0389,-142,3
0389,-141,1
0389,-140,5
0389,-139,3
0389,-138,1
0389,-137,3
0389,-136,5
0389,-135,5
0389,-134,3
0389,-133,5
0389,-132,5
0389,-131,5
0389,-130,4
0389,-129,6
0389,-128,4
0389,-127,2
0389,-126,2
0389,-125,1
0389,-124,4
0389,-123,3
0389,-122,4
0389,-121,5
0389,-120,9
0389,-119,0
0389,-118,6
0389,-117,0
0389,-116,2
0389,-115,2
0389,-114,3
0389,-113,2
0389,-112,2
0389,-111,3
0389,-110,3
0389,-109,6
0389,-108,6
0389,-107,0
0389,-106,2
0389,-105,4
0389,-104,5
0389,-103,3
0389,-102,3
0389,-101,2
0389,-100,3
0389,-99,0
0389,-98,7
0389,-97,1
0389,-96,3
0389,-95,3
0389,-94,0
0389,-93,5
0389,-92,8
0389,-91,0
0389,-90,7
0389,-89,8
0389,-88,1
0389,-87,0
0389,-86,5
0389,-85,5
0389,-84,1
0389,-83,3
0389,-82,4
0389,-81,5
0389,-80,2
0389,-79,4
0389,-78,1
0389,-77,0
0389,-76,8
0389,-75,6
0389,-74,3
0389,-73,9
0389,-72,3
0389,-71,6
0389,-70,5
0389,-69,3
0389,-68,9
0389,-67,1
0389,-66,3
0389,-65,8
0389,-64,5
0389,-63,4
0389,-62,4
0389,-61,4
0389,-60,6
0389,-59,6
0389,-58,9
0389,-57,3
0389,-56,5
0389,-55,6
0389,-54,0
0389,-53,10
0389,-52,4
0389,-51,5
0389,-50,8
0389,-49,5
0389,-48,6
0389,-47,0
0389,-46,12
0389,-45,10
0389,-44,7
0389,-43,3
0389,-42,5
0389,-41,8
0389,-40,13
0389,-39,8
0389,-38,8
0389,-37,11
0389,-36,8
0389,-35,1
0389,-34,7
0389,-33,15
0389,-32,7
0389,-31,5
0389,-30,12
0389,-29,9
0389,-28,13
0389,-27,14
0389,-26,3
0389,-25,9
0389,-24,20
0389,-23,8
0389,-22,10
0389,-21,13
0389,-20,8
0389,-19,18
0389,-18,10
0389,-17,6
0389,-16,15
0389,-15,11
0389,-14,6
0389,-13,19
0389,-12,18
0389,-11,10
0389,-10,22
0389,-9,22
0389,-8,33
0389,-7,12
0389,-6,21
0389,-5,17
0389,-4,19
0389,-3,16
0389,-2,21
0389,-1,23
04112,-365,2
04112,-364,0
04112,-363,1
04112,-362,1
04112,-361,0
04112,-360,0
04112,-359,0
04112,-358,0
04112,-357,1
04112,-356,1
04112,-355,0
04112,-354,0
04112,-353,0
04112,-352,0
04112,-351,0
04112,-350,0
04112,-349,2
04112,-348,0
04112,-347,1
04112,-346,0
04112,-345,1
04112,-344,0
04112,-343,1
04112,-342,0
04112,-341,0
04112,-340,0
04112,-339,1
04112,-338,0
04112,-337,0
04112,-336,1
04112,-335,0
04112,-334,1
04112,-333,0
04112,-332,1
04112,-331,0
04112,-330,0
04112,-329,1
04112,-328,1
04112,-327,0
04112,-326,1
04112,-325,2
04112,-324,0
04112,-323,1
04112,-322,0
04112,-321,0
04112,-320,0
04112,-319,0
04112,-318,0
04112,-317,0
04112,-316,0
04112,-315,1
04112,-314,0
04112,-313,1
04112,-312,0
04112,-311,0
04112,-310,1
04112,-309,0
04112,-308,1
04112,-307,1
04112,-306,1
04112,-305,1
04112,-304,1
04112,-303,2
04112,-302,1
04112,-301,1
04112,-300,0
04112,-299,1
04112,-298,0
04112,-297,0
04112,-296,1
04112,-295,1
04112,-294,0
04112,-293,0
04112,-292,1
04112,-291,1
04112,-290,0
04112,-289,0
04112,-288,0
04112,-287,2
04112,-286,0
04112,-285,1
04112,-284,1
04112,-283,0
04112,-282,3
04112,-281,0
04112,-280,0
04112,-279,0
04112,-278,0
04112,-277,0
04112,-276,0
04112,-275,0
04112,-274,1
04112,-273,0
04112,-272,0
04112,-271,1
04112,-270,0
04112,-269,1
04112,-268,1
04112,-267,2
04112,-266,1
04112,-265,1
04112,-264,0
04112,-263,1
04112,-262,0
04112,-261,0
04112,-260,2
04112,-259,0
04112,-258,0
04112,-257,3
04112,-256,1
04112,-255,1
04112,-254,0
04112,-253,0
04112,-252,0
04112,-251,0
04112,-250,0
04112,-249,0
04112,-248,2
04112,-247,1
04112,-246,0
04112,-245,0
04112,-244,0
04112,-243,0
04112,-242,0
04112,-241,1
04112,-240,2
04112,-239,0
04112,-238,0
04112,-237,1
04112,-236,0
04112,-235,1
04112,-234,1
04112,-233,0
04112,-232,1
04112,-231,1
04112,-230,0
04112,-229,2
04112,-228,0
04112,-227,0
04112,-226,1
04112,-225,0
04112,-224,0
04112,-223,2
04112,-222,0
04112,-221,0
04112,-220,1
04112,-219,1
04112,-218,1
04112,-217,3
04112,-216,1
04112,-215,1
04112,-214,0
04112,-213,0
04112,-212,0
04112,-211,0
04112,-210,1
04112,-209,2
04112,-208,1
04112,-207,0
04112,-206,0
04112,-205,0
04112,-204,0
04112,-203,0
04112,-202,0
04112,-201,0
04112,-200,0
04112,-199,2
04112,-198,0
04112,-197,0
04112,-196,1
04112,-195,2
04112,-194,1
04112,-193,0
04112,-192,1
04112,-191,0
04112,-190,1
04112,-189,1
04112,-188,0
04112,-187,0
04112,-186,0
04112,-185,1
04112,-184,0
04112,-183,0
04112,-182,0
04112,-181,2
04112,-180,0
04112,-179,0
04112,-178,0
04112,-177,1
04112,-176,2
04112,-175,1
04112,-174,0
04112,-173,0
04112,-172,1
04112,-171,0
04112,-170,0
04112,-169,2
04112,-168,1
04112,-167,1
04112,-166,3
04112,-165,1
04112,-164,1
04112,-163,1
04112,-162,0
04112,-161,0
04112,-160,1
04112,-159,1
04112,-158,2
04112,-157,2
04112,-156,1
04112,-155,0
04112,-154,1
04112,-153,0
04112,-152,1
04112,-151,3
04112,-150,0
04112,-149,0
04112,-148,0
04112,-147,0
04112,-146,3
04112,-145,0
04112,-144,2
04112,-143,0
04112,-142,1
04112,-141,0
04112,-140,1
04112,-139,0
04112,-138,1
04112,-137,0
04112,-136,0
04112,-135,0
04112,-134,0
04112,-133,0
04112,-132,0
04112,-131,0
04112,-130,2
04112,-129,0
04112,-128,0
04112,-127,0
04112,-126,0
04112,-125,0
04112,-124,2
04112,-123,2
04112,-122,0
04112,-121,1
04112,-120,1
04112,-119,0
04112,-118,0
04112,-117,1
04112,-116,2
04112,-115,2
04112,-114,0
04112,-113,3
04112,-112,1
04112,-111,2
04112,-110,1
04112,-109,0
04112,-108,2
04112,-107,0
04112,-106,1
04112,-105,3
04112,-104,1
04112,-103,1
04112,-102,1
04112,-101,1
04112,-100,2
04112,-99,0
04112,-98,3
04112,-97,1
04112,-96,0
04112,-95,2
04112,-94,1
04112,-93,2
04112,-92,0
04112,-91,4
04112,-90,0
04112,-89,1
04112,-88,1
04112,-87,1
04112,-86,1
04112,-85,3
04112,-84,1
04112,-83,3
04112,-82,3
04112,-81,2
04112,-80,0
04112,-79,2
